,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
37377,37,0.17,-0.41,-0.03,5,-12,-1,19.87,2
37378,37,0.03,-0.41,-0.07,1,-12,-2,19.28,2
37379,37,-0.03,-0.44,0.0,-1,-13,0,19.61,2
37380,37,0.14,-0.47,-0.14,4,-14,-4,19.47,2
37381,37,0.1,-0.34,0.03,3,-10,1,19.74,2
37382,37,0.0,-0.44,-0.03,0,-13,-1,19.87,2
37383,37,0.1,-0.41,0.0,3,-12,0,19.61,2
37384,37,-0.03,-0.44,-0.07,-1,-13,-2,19.61,2
37385,37,0.27,-0.27,-0.1,8,-8,-3,19.54,2
37386,37,0.24,-0.44,-0.03,7,-13,-1,19.93,2
37387,37,0.1,-0.41,-0.1,3,-12,-3,19.8,2
37388,37,-0.1,-0.37,-0.03,-3,-11,-1,19.61,2
37389,37,-0.03,-0.34,-0.07,-1,-10,-2,19.74,2
37390,37,0.1,-0.37,0.0,3,-11,0,19.8,2
37391,37,0.07,-0.41,-0.07,2,-12,-2,19.61,2
37392,37,0.14,-0.34,-0.07,4,-10,-2,19.61,2
37393,37,0.03,-0.34,-0.07,1,-10,-2,19.54,2
37394,37,0.14,-0.41,-0.03,4,-12,-1,19.54,2
37395,37,0.17,-0.41,-0.1,5,-12,-3,19.47,2
37396,37,0.03,-0.37,-0.14,1,-11,-4,19.74,2
37397,37,0.24,-0.47,-0.03,7,-14,-1,19.87,2
37398,37,-0.03,-0.41,-0.07,-1,-12,-2,19.41,2
37399,37,0.2,-0.27,-0.07,6,-8,-2,19.54,2
37400,37,0.17,-0.27,0.0,5,-8,0,19.47,2
37401,37,0.14,-0.27,-0.14,4,-8,-4,19.74,2
37402,37,0.17,-0.37,-0.14,5,-11,-4,19.67,2
37403,37,0.2,-0.37,-0.03,6,-11,-1,19.61,2
37404,37,0.2,-0.27,-0.03,6,-8,-1,19.47,2
37405,37,0.14,-0.37,-0.1,4,-11,-3,19.54,2
37406,37,0.07,-0.37,-0.07,2,-11,-2,19.67,2
37407,37,0.07,-0.37,-0.03,2,-11,-1,19.67,2
37408,37,0.1,-0.41,-0.03,3,-12,-1,19.67,2
37409,37,0.14,-0.37,-0.1,4,-11,-3,19.61,2
37410,37,0.17,-0.37,-0.14,5,-11,-4,19.74,2
37411,37,0.14,-0.51,-0.07,4,-15,-2,19.47,2
37412,37,0.14,-0.34,0.0,4,-10,0,19.87,2
37413,37,0.14,-0.51,-0.1,4,-15,-3,19.61,2
37414,37,0.17,-0.58,-0.1,5,-17,-3,19.67,2
37415,37,0.1,-0.37,-0.07,3,-11,-2,19.93,2
37416,37,0.2,-0.41,-0.1,6,-12,-3,19.67,2
37417,37,0.14,-0.34,0.0,4,-10,0,19.74,2
37418,37,0.0,-0.41,-0.1,0,-12,-3,19.47,2
37419,37,0.17,-0.41,0.0,5,-12,0,19.67,2
37420,37,0.1,-0.44,-0.07,3,-13,-2,19.54,2
37421,37,0.14,-0.44,-0.07,4,-13,-2,19.8,2
37422,37,-0.03,-0.37,-0.03,-1,-11,-1,19.61,2
37423,37,-0.03,-0.44,-0.07,-1,-13,-2,19.74,2
37424,37,0.14,-0.44,-0.03,4,-13,-1,19.8,2
37425,37,0.03,-0.47,-0.07,1,-14,-2,19.87,2
37426,37,0.03,-0.37,-0.1,1,-11,-3,19.61,2
37427,37,0.07,-0.37,-0.03,2,-11,-1,19.47,2
37428,37,0.17,-0.34,-0.07,5,-10,-2,19.67,2
37429,37,0.07,-0.37,-0.07,2,-11,-2,19.54,2
37430,37,0.03,-0.47,-0.03,1,-14,-1,19.61,2
37431,37,0.2,-0.54,-0.03,6,-16,-1,19.67,2
37432,37,0.17,-0.31,-0.07,5,-9,-2,19.74,2
37433,37,0.07,-0.34,-0.14,2,-10,-4,19.74,2
37434,37,0.1,-0.34,-0.07,3,-10,-2,19.41,2
37435,37,0.03,-0.51,0.03,1,-15,1,19.41,2
37436,37,0.14,-0.51,-0.07,4,-15,-2,19.67,2
37437,37,0.14,-0.41,-0.03,4,-12,-1,19.54,2
37438,37,0.1,-0.54,-0.07,3,-16,-2,19.74,2
37439,37,0.03,-0.37,-0.1,1,-11,-3,19.28,2
37440,37,0.14,-0.41,-0.03,4,-12,-1,19.54,2
37441,37,0.1,-0.54,-0.1,3,-16,-3,19.93,2
